Buyer Postal Code,Buyer Currency,colonia,municipio,estado,direccion
37520,MXN,Aztecas,León,Guanajuato,"Aztecas, León, Guanajuato"
37520,MXN,Aztecas,León,Guanajuato,"Aztecas, León, Guanajuato"
37530,MXN,Cerrito de Jerez,León,Guanajuato,"Cerrito de Jerez, León, Guanajuato"
37530,MXN,Cerrito de Jerez,León,Guanajuato,"Cerrito de Jerez, León, Guanajuato"
37230,MXN,Jardines de Providencia,León,Guanajuato,"Jardines de Providencia, León, Guanajuato"
37230,MXN,Jardines de Providencia,León,Guanajuato,"Jardines de Providencia, León, Guanajuato"
37100.0,MXN,El Tecotán,León,Guanajuato,"El Tecotán, León, Guanajuato"
37100.0,MXN,El Tecotán,León,Guanajuato,"El Tecotán, León, Guanajuato"
56619.0,MXN,La Punta,Valle de Chalco Solidaridad,México,"La Punta, Valle de Chalco Solidaridad, México"
56619.0,MXN,La Punta,Valle de Chalco Solidaridad,México,"La Punta, Valle de Chalco Solidaridad, México"
45080.0,MXN,Unidad Díaz Ordaz,Zapopan,Jalisco,"Unidad Díaz Ordaz, Zapopan, Jalisco"
45080.0,MXN,Unidad Díaz Ordaz,Zapopan,Jalisco,"Unidad Díaz Ordaz, Zapopan, Jalisco"
62770.0,MXN,Tlaltizapán Centro,Tlaltizapán de Zapata,Morelos,"Tlaltizapán Centro, Tlaltizapán de Zapata, Morelos"
62770.0,MXN,Tlaltizapán Centro,Tlaltizapán de Zapata,Morelos,"Tlaltizapán Centro, Tlaltizapán de Zapata, Morelos"
37230.0,MXN,Jardines de Providencia,León,Guanajuato,"Jardines de Providencia, León, Guanajuato"
37230.0,MXN,Jardines de Providencia,León,Guanajuato,"Jardines de Providencia, León, Guanajuato"
37530.0,MXN,Cerrito de Jerez,León,Guanajuato,"Cerrito de Jerez, León, Guanajuato"
37530.0,MXN,Cerrito de Jerez,León,Guanajuato,"Cerrito de Jerez, León, Guanajuato"
37330.0,MXN,España,León,Guanajuato,"España, León, Guanajuato"
37330.0,MXN,España,León,Guanajuato,"España, León, Guanajuato"
37330.0,MXN,España,León,Guanajuato,"España, León, Guanajuato"
37330.0,MXN,España,León,Guanajuato,"España, León, Guanajuato"
