Buyer Postal Code,Buyer Currency,colonia,municipio,estado,direccion
37520,MXN,Aztecas,Leon,Guanajuato,"Aztecas, Leon, Guanajuato"
37520,MXN,Aztecas,Leon,Guanajuato,"Aztecas, Leon, Guanajuato"
37530,MXN,Cerrito de Jerez,Leon,Guanajuato,"Cerrito de Jerez, Leon, Guanajuato"
37530,MXN,Cerrito de Jerez,Leon,Guanajuato,"Cerrito de Jerez, Leon, Guanajuato"
37230,MXN,Jardines de Providencia,Leon,Guanajuato,"Jardines de Providencia, Leon, Guanajuato"
37230,MXN,Jardines de Providencia,Leon,Guanajuato,"Jardines de Providencia, Leon, Guanajuato"
37100.0,MXN,El Tecotan,Leon,Guanajuato,"El Tecotan, Leon, Guanajuato"
37100.0,MXN,El Tecotan,Leon,Guanajuato,"El Tecotan, Leon, Guanajuato"
56619.0,MXN,La Punta,Valle de Chalco Solidaridad,Mexico,"La Punta, Valle de Chalco Solidaridad, Mexico"
56619.0,MXN,La Punta,Valle de Chalco Solidaridad,Mexico,"La Punta, Valle de Chalco Solidaridad, Mexico"
45080.0,MXN,Unidad Diaz Ordaz,Zapopan,Jalisco,"Unidad Diaz Ordaz, Zapopan, Jalisco"
45080.0,MXN,Unidad Diaz Ordaz,Zapopan,Jalisco,"Unidad Diaz Ordaz, Zapopan, Jalisco"
62770.0,MXN,Tlaltizapan Centro,Tlaltizapan de Zapata,Morelos,"Tlaltizapan Centro, Tlaltizapan de Zapata, Morelos"
62770.0,MXN,Tlaltizapan Centro,Tlaltizapan de Zapata,Morelos,"Tlaltizapan Centro, Tlaltizapan de Zapata, Morelos"
37230.0,MXN,Jardines de Providencia,Leon,Guanajuato,"Jardines de Providencia, Leon, Guanajuato"
37230.0,MXN,Jardines de Providencia,Leon,Guanajuato,"Jardines de Providencia, Leon, Guanajuato"
37530.0,MXN,Cerrito de Jerez,Leon,Guanajuato,"Cerrito de Jerez, Leon, Guanajuato"
37530.0,MXN,Cerrito de Jerez,Leon,Guanajuato,"Cerrito de Jerez, Leon, Guanajuato"
37330.0,MXN,Espana,Leon,Guanajuato,"Espana, Leon, Guanajuato"
37330.0,MXN,Espana,Leon,Guanajuato,"Espana, Leon, Guanajuato"
37330.0,MXN,Espana,Leon,Guanajuato,"Espana, Leon, Guanajuato"
37330.0,MXN,Espana,Leon,Guanajuato,"Espana, Leon, Guanajuato"
37330.0,MXN,Espana,Leon,Guanajuato,"Espana, Leon, Guanajuato"
37330.0,MXN,Espana,Leon,Guanajuato,"Espana, Leon, Guanajuato"
38130.0,MXN,Los Establos (Los Arenales),Celaya,Guanajuato,"Los Establos (Los Arenales), Celaya, Guanajuato"
38130.0,MXN,Los Establos (Los Arenales),Celaya,Guanajuato,"Los Establos (Los Arenales), Celaya, Guanajuato"
38130.0,MXN,Los Establos (Los Arenales),Celaya,Guanajuato,"Los Establos (Los Arenales), Celaya, Guanajuato"
38130.0,MXN,Los Establos (Los Arenales),Celaya,Guanajuato,"Los Establos (Los Arenales), Celaya, Guanajuato"
38130.0,MXN,Los Establos (Los Arenales),Celaya,Guanajuato,"Los Establos (Los Arenales), Celaya, Guanajuato"
38130.0,MXN,Los Establos (Los Arenales),Celaya,Guanajuato,"Los Establos (Los Arenales), Celaya, Guanajuato"
38130.0,MXN,Los Establos (Los Arenales),Celaya,Guanajuato,"Los Establos (Los Arenales), Celaya, Guanajuato"
38130.0,MXN,Los Establos (Los Arenales),Celaya,Guanajuato,"Los Establos (Los Arenales), Celaya, Guanajuato"
62520.0,MXN,Xilotepec,Tepoztlan,Morelos,"Xilotepec, Tepoztlan, Morelos"
62520.0,MXN,Xilotepec,Tepoztlan,Morelos,"Xilotepec, Tepoztlan, Morelos"
62520.0,MXN,Xilotepec,Tepoztlan,Morelos,"Xilotepec, Tepoztlan, Morelos"
62520.0,MXN,Xilotepec,Tepoztlan,Morelos,"Xilotepec, Tepoztlan, Morelos"
30700.0,MXN,Tapachula Centro,Tapachula,Chiapas,"Tapachula Centro, Tapachula, Chiapas"
30700.0,MXN,Tapachula Centro,Tapachula,Chiapas,"Tapachula Centro, Tapachula, Chiapas"
30700.0,MXN,Tapachula Centro,Tapachula,Chiapas,"Tapachula Centro, Tapachula, Chiapas"
30700.0,MXN,Tapachula Centro,Tapachula,Chiapas,"Tapachula Centro, Tapachula, Chiapas"
20196.0,MXN,Ojocaliente,Aguascalientes,Aguascalientes,"Ojocaliente, Aguascalientes, Aguascalientes"
20196.0,MXN,Ojocaliente,Aguascalientes,Aguascalientes,"Ojocaliente, Aguascalientes, Aguascalientes"
76060.0,MXN,Loma Dorada,Queretaro,Queretaro,"Loma Dorada, Queretaro, Queretaro"
76060.0,MXN,Loma Dorada,Queretaro,Queretaro,"Loma Dorada, Queretaro, Queretaro"
72100.0,MXN,El Boscaje,Puebla,Puebla,"El Boscaje, Puebla, Puebla"
72100.0,MXN,El Boscaje,Puebla,Puebla,"El Boscaje, Puebla, Puebla"
85150.0,MXN,La Florida,Cajeme,Sonora,"La Florida, Cajeme, Sonora"
85150.0,MXN,La Florida,Cajeme,Sonora,"La Florida, Cajeme, Sonora"
73000.0,MXN,Huitzilac,Francisco Z. Mena,Puebla,"Huitzilac, Francisco Z. Mena, Puebla"
73000.0,MXN,Huitzilac,Francisco Z. Mena,Puebla,"Huitzilac, Francisco Z. Mena, Puebla"
99670.0,MXN,Huanusco,Huanusco,Zacatecas,"Huanusco, Huanusco, Zacatecas"
99670.0,MXN,Huanusco,Huanusco,Zacatecas,"Huanusco, Huanusco, Zacatecas"
99670.0,MXN,Huanusco,Huanusco,Zacatecas,"Huanusco, Huanusco, Zacatecas"
99670.0,MXN,Huanusco,Huanusco,Zacatecas,"Huanusco, Huanusco, Zacatecas"
86150.0,MXN,Punta Brava,Centro,Tabasco,"Punta Brava, Centro, Tabasco"
86150.0,MXN,Punta Brava,Centro,Tabasco,"Punta Brava, Centro, Tabasco"
86150.0,MXN,Punta Brava,Centro,Tabasco,"Punta Brava, Centro, Tabasco"
86150.0,MXN,Punta Brava,Centro,Tabasco,"Punta Brava, Centro, Tabasco"
7140.0,MXN,Arboledas,Gustavo A. Madero,Ciudad de Mexico,"Arboledas, Gustavo A. Madero, Ciudad de Mexico"
7140.0,MXN,Arboledas,Gustavo A. Madero,Ciudad de Mexico,"Arboledas, Gustavo A. Madero, Ciudad de Mexico"
55070,MXN,Carlos Salinas de Gortari,Ecatepec de Morelos,Mexico,"Carlos Salinas de Gortari, Ecatepec de Morelos, Mexico"
55070,MXN,Carlos Salinas de Gortari,Ecatepec de Morelos,Mexico,"Carlos Salinas de Gortari, Ecatepec de Morelos, Mexico"
55070,MXN,Carlos Salinas de Gortari,Ecatepec de Morelos,Mexico,"Carlos Salinas de Gortari, Ecatepec de Morelos, Mexico"
55070,MXN,Carlos Salinas de Gortari,Ecatepec de Morelos,Mexico,"Carlos Salinas de Gortari, Ecatepec de Morelos, Mexico"
87398,MXN,Azteca,Matamoros,Tamaulipas,"Azteca, Matamoros, Tamaulipas"
87398,MXN,Azteca,Matamoros,Tamaulipas,"Azteca, Matamoros, Tamaulipas"
87398,MXN,Azteca,Matamoros,Tamaulipas,"Azteca, Matamoros, Tamaulipas"
87398,MXN,Azteca,Matamoros,Tamaulipas,"Azteca, Matamoros, Tamaulipas"
45800,MXN,Jocotepec Centro,Jocotepec,Jalisco,"Jocotepec Centro, Jocotepec, Jalisco"
45800,MXN,Jocotepec Centro,Jocotepec,Jalisco,"Jocotepec Centro, Jocotepec, Jalisco"
85150,MXN,La Florida,Cajeme,Sonora,"La Florida, Cajeme, Sonora"
85150,MXN,La Florida,Cajeme,Sonora,"La Florida, Cajeme, Sonora"
42730,MXN,Progreso de Obregon Centro,Progreso de Obregon,Hidalgo,"Progreso de Obregon Centro, Progreso de Obregon, Hidalgo"
42730,MXN,Progreso de Obregon Centro,Progreso de Obregon,Hidalgo,"Progreso de Obregon Centro, Progreso de Obregon, Hidalgo"
62747,MXN,Araucaria,Cuautla,Morelos,"Araucaria, Cuautla, Morelos"
62747,MXN,Araucaria,Cuautla,Morelos,"Araucaria, Cuautla, Morelos"
62747,MXN,Araucaria,Cuautla,Morelos,"Araucaria, Cuautla, Morelos"
62747,MXN,Araucaria,Cuautla,Morelos,"Araucaria, Cuautla, Morelos"
28100,MXN,Tecoman Centro,Tecoman,Colima,"Tecoman Centro, Tecoman, Colima"
28100,MXN,Tecoman Centro,Tecoman,Colima,"Tecoman Centro, Tecoman, Colima"
28100,MXN,Tecoman Centro,Tecoman,Colima,"Tecoman Centro, Tecoman, Colima"
28100,MXN,Tecoman Centro,Tecoman,Colima,"Tecoman Centro, Tecoman, Colima"
79540,MXN,Villa de Zaragoza Centro,Zaragoza,San Luis Potosi,"Villa de Zaragoza Centro, Zaragoza, San Luis Potosi"
79540,MXN,Villa de Zaragoza Centro,Zaragoza,San Luis Potosi,"Villa de Zaragoza Centro, Zaragoza, San Luis Potosi"
54769,MXN,Hacienda del Parque,Cuautitlan Izcalli,Mexico,"Hacienda del Parque, Cuautitlan Izcalli, Mexico"
54769,MXN,Hacienda del Parque,Cuautitlan Izcalli,Mexico,"Hacienda del Parque, Cuautitlan Izcalli, Mexico"
54769,MXN,Hacienda del Parque,Cuautitlan Izcalli,Mexico,"Hacienda del Parque, Cuautitlan Izcalli, Mexico"
54769,MXN,Hacienda del Parque,Cuautitlan Izcalli,Mexico,"Hacienda del Parque, Cuautitlan Izcalli, Mexico"
50500,MXN,San Andres Timilpan,Timilpan,Mexico,"San Andres Timilpan, Timilpan, Mexico"
50500,MXN,San Andres Timilpan,Timilpan,Mexico,"San Andres Timilpan, Timilpan, Mexico"
50500,MXN,San Andres Timilpan,Timilpan,Mexico,"San Andres Timilpan, Timilpan, Mexico"
50500,MXN,San Andres Timilpan,Timilpan,Mexico,"San Andres Timilpan, Timilpan, Mexico"
75760,MXN,El Carmen,Tehuacan,Puebla,"El Carmen, Tehuacan, Puebla"
75760,MXN,El Carmen,Tehuacan,Puebla,"El Carmen, Tehuacan, Puebla"
75760,MXN,El Carmen,Tehuacan,Puebla,"El Carmen, Tehuacan, Puebla"
75760,MXN,El Carmen,Tehuacan,Puebla,"El Carmen, Tehuacan, Puebla"
75760,MXN,El Carmen,Tehuacan,Puebla,"El Carmen, Tehuacan, Puebla"
75760,MXN,El Carmen,Tehuacan,Puebla,"El Carmen, Tehuacan, Puebla"
4369,MXN,Pedregal de Santo Domingo,Coyoacan,Ciudad de Mexico,"Pedregal de Santo Domingo, Coyoacan, Ciudad de Mexico"
4369,MXN,Pedregal de Santo Domingo,Coyoacan,Ciudad de Mexico,"Pedregal de Santo Domingo, Coyoacan, Ciudad de Mexico"
