Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3363-0983-6213-47471,"Nov 1, 2021",8:25:57 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,gta4lwifi,MX,,55980,MXN,75.00,1.000000,MXN,75.00,,
GPA.3363-0983-6213-47471,"Nov 1, 2021",8:25:57 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,gta4lwifi,MX,,55980,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3363-0983-6213-47471,"Nov 1, 2021",8:25:57 PM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,gta4lwifi,MX,,55980,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3390-6237-4366-21867,"Nov 2, 2021",11:11:58 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,m12,MX,,87019,MXN,75.00,1.000000,MXN,75.00,,
GPA.3390-6237-4366-21867,"Nov 2, 2021",11:11:58 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,m12,MX,,87019,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3390-6237-4366-21867,"Nov 2, 2021",11:11:58 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,m12,MX,,87019,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3341-6134-5459-96700,"Nov 3, 2021",10:37:35 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,m12,MX,,87019,MXN,75.00,1.000000,MXN,75.00,,
GPA.3341-6134-5459-96700,"Nov 3, 2021",10:37:35 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,m12,MX,,87019,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3341-6134-5459-96700,"Nov 3, 2021",10:37:35 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,m12,MX,,87019,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3378-7292-4931-24632,"Nov 6, 2021",10:47:54 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,d2s,CL,,4360000,CLP,2689.00,0.025068,MXN,67.41,,
GPA.3378-7292-4931-24632,"Nov 6, 2021",10:47:54 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,d2s,CL,,4360000,CLP,-403.00,0.025068,MXN,-10.10,,
GPA.3378-7292-4931-24632,"Nov 6, 2021",10:47:54 AM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,d2s,CL,,4360000,MXN,-1.62,1.000000,MXN,-1.62,,
GPA.3353-2600-9199-93577,"Nov 10, 2021",2:16:22 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,deen_sprout,MX,,78216,MXN,59.00,1.000000,MXN,59.00,,
GPA.3353-2600-9199-93577,"Nov 10, 2021",2:16:22 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,deen_sprout,MX,,78216,MXN,-8.85,1.000000,MXN,-8.85,,
GPA.3353-2600-9199-93577,"Nov 10, 2021",2:16:22 PM PST,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,deen_sprout,MX,,78216,MXN,-1.41,1.000000,MXN,-1.41,,
GPA.3312-2574-6675-73643,"Nov 12, 2021",8:29:40 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a30s,MX,,54900,MXN,59.00,1.000000,MXN,59.00,,
GPA.3312-2574-6675-73643,"Nov 12, 2021",8:29:40 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a30s,MX,,54900,MXN,-8.85,1.000000,MXN,-8.85,,
