Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description
GPA.3339-7866-8413-66673,"Jun 1, 2022",12:17:49 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWSTK-HF,MX,,41600,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3339-7866-8413-66673,"Jun 1, 2022",12:17:49 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWSTK-HF,MX,,41600,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,
GPA.3339-7866-8413-66673,"Jun 1, 2022",12:17:49 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWSTK-HF,MX,,41600,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,
GPA.3315-3682-2517-66516,"Jun 2, 2022",10:39:36 AM PDT,,Charge,,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,a52q,MX,,07530,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3315-3682-2517-66516,"Jun 2, 2022",10:39:36 AM PDT,,Google fee,,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,a52q,MX,,07530,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,
GPA.3315-3682-2517-66516,"Jun 2, 2022",10:39:36 AM PDT,Mexico VAT,Tax,,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,a52q,MX,,07530,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,
GPA.3315-3682-2517-66516,"Jun 2, 2022",11:01:24 AM PDT,,Charge refund,Full,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,a52q,MX,,07530,MXN,-99.00,1.000000,MXN,-99.00,,,4992140864565314884,Yes,,
GPA.3315-3682-2517-66516,"Jun 2, 2022",11:01:24 AM PDT,,Google fee refund,Full,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,a52q,MX,,07530,MXN,14.85,1.000000,MXN,14.85,,,4992140864565314884,Yes,15,
GPA.3315-3682-2517-66516,"Jun 2, 2022",11:01:24 AM PDT,Mexico VAT,Tax refund,Full,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,a52q,MX,,07530,MXN,2.37,1.000000,MXN,2.37,,,4992140864565314884,Yes,,
GPA.3347-3189-5407-89594,"Jun 12, 2022",11:30:42 PM PDT,,Charge,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,alioth,MX,CDMX,07800,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3347-3189-5407-89594,"Jun 12, 2022",11:30:42 PM PDT,,Google fee,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,alioth,MX,CDMX,07800,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,
GPA.3347-3189-5407-89594,"Jun 12, 2022",11:30:42 PM PDT,Mexico VAT,Tax,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,alioth,MX,CDMX,07800,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,
GPA.3351-1340-4157-46349,"Jun 19, 2022",5:12:27 PM PDT,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWSNE,BO,,,BOB,32.99,2.954000,MXN,97.45,,,4992140864565314884,Yes,,
GPA.3351-1340-4157-46349,"Jun 19, 2022",5:12:27 PM PDT,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWSNE,BO,,,BOB,-4.95,2.954000,MXN,-14.62,,,4992140864565314884,Yes,15,
GPA.3351-1340-4157-46349,"Jun 19, 2022",5:12:27 PM PDT,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWSNE,BO,,,BOB,-0.79,2.954000,MXN,-2.34,,,4992140864565314884,Yes,,
