Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3350-9922-6255-63915,"Sep 2, 2022",11:06:07 AM PDT,,Charge,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,OP4F2F,MX,,83553,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3350-9922-6255-63915,"Sep 2, 2022",11:06:07 AM PDT,,Google fee,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,OP4F2F,MX,,83553,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3350-9922-6255-63915,"Sep 2, 2022",11:06:07 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,OP4F2F,MX,,83553,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3363-8308-5418-01537,"Sep 4, 2022",8:13:20 PM PDT,,Charge,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,sweet,MX,,51585,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3363-8308-5418-01537,"Sep 4, 2022",8:13:20 PM PDT,,Google fee,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,sweet,MX,,51585,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3363-8308-5418-01537,"Sep 4, 2022",8:13:20 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,sweet,MX,,51585,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3302-9403-5450-72123,"Sep 6, 2022",5:43:38 AM PDT,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,p3s,MX,,32544,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3302-9403-5450-72123,"Sep 6, 2022",5:43:38 AM PDT,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,p3s,MX,,32544,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3302-9403-5450-72123,"Sep 6, 2022",5:43:38 AM PDT,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,p3s,MX,,32544,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3305-9839-3497-31124,"Sep 6, 2022",12:08:40 PM PDT,,Charge,,Diseño de Columnas ACI 318 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,b0q,PE,,,PEN,18.99,5.164900,MXN,98.08,,,4992140864565314884,Yes,,,
